UUID_FAMILY;ORIGGPCD;UUID_CONTENT;LANG;ORIGGPFR
BD82173D-EA5D-4E35-B529-7043817EB45B;06.9;1F1205AF-006B-4EBD-A2A2-883939839964;fr_FR;Fromages non affinés et spécialités fromagères
CB3159A9-6710-4CDD-8160-72EFA5CE25BB;07.1;9C820CD9-E754-42AB-8B5C-764F92798F34;fr_FR;Oeufs, crus
25803EA8-EFFA-4ECD-B920-598F520E65B6;07.2;FAD44DEC-6C0E-4738-9802-8B4F85F17CFD;fr_FR;Oeufs, cuits
05A469C3-87FB-48A3-8B76-317965483990;07.3;DBADC6B2-D737-44F0-A124-E536AFBAE574;fr_FR;Omelettes composées et autres ovoproduits
2FD70293-6CF6-4498-9ED4-0FEC82D8095A;08.1;7D5D0142-C15C-4887-9D83-53A98F9B992C;fr_FR;Beurres et matières grasses laitières
2D3C0F86-3ACA-4AE4-83BB-A44678506F6E;08.2;C61ADC31-842C-41DC-924E-9E84CEE6D17B;fr_FR;Autres matières grasses animales
F57700C6-BBC8-4834-877D-5050FFC8869D;08.3;5C315B41-4269-4291-89B0-4BC4EF81E531;fr_FR;Margarines et matières grasses composées
AF76DCA2-235A-42F1-B541-59FBB7DC6C58;08.4;08B21C55-2346-47A1-ABE2-267F9CDD92BA;fr_FR;Huiles et graisses végétales
1DE59892-1735-4DCD-AB4F-2FA47FEE3956;08.5;43618FCC-B115-4540-AA02-6ACFF07C46C5;fr_FR;Huiles de poissons
3EECD668-7E71-44FD-9EB0-2F23280E6570;08.6;E6875A69-8BFE-411D-B52A-EE6732A59ED5;fr_FR;Huiles minérales
8EBA3A96-87EA-4FBF-864B-C0BAE077A277;9;BED8D1CA-AB9B-490D-ABCA-12517439A4B0;fr_FR;Viandes
4D05B15B-DCDD-4772-B5E9-24483FC9DDB3;10;7D73DBC6-166E-4538-B4F2-F5339E93E4BC;fr_FR;Volailles
6F03EE34-5259-46C2-88A7-2A3C4D62048F;11;E2C7F700-1CBB-443B-A1EC-B6B1B10B6C56;fr_FR;Abats
2DAF17BE-77AD-41D5-860C-479378AE0CF1;12.1;453919F7-3300-4077-A3ED-FBF9652A23BF;fr_FR;Jambons cuits
C55539CA-8A11-47AE-B2AD-7A929A4EBCDD;12.2;5D8ECD0B-FBED-4702-993F-AFFE8576D2B9;fr_FR;Jambons secs et crus
93534D74-2319-413C-8848-1C84FD8681AF;12.3;1D2EFC6E-AD2A-4B15-9E33-E8B3BD6E7982;fr_FR;Saucisses et assimilés
C7B69352-1E30-435F-A0A4-61B01E2C2BC0;12.4;071815DB-65B4-4609-B3FF-A2B45205E15B;fr_FR;Pâtés et terrines
78F05986-8F74-4578-BF43-5B1ADE492D33;12.5;F40CE237-D51B-482B-835C-25BD51AD54DC;fr_FR;Rillettes
F093CC62-3CF3-4A8B-89A8-F7557A63D31A;12.6;9DF4D8B8-5360-4B43-8DC9-B1D0A44454B7;fr_FR;Saucissons secs
064F9FD8-9CC8-4D71-8DA3-3CFC57B7740E;12.7;4CC347FF-18A5-4D1A-AADC-74F66499BF02;fr_FR;Quenelles
23FB62CB-BBBC-41FC-A605-6E2BEA6D653E;12.8;7FAB6CB6-F3E1-49EF-9E6F-742E92568EA8;fr_FR;Autres spécialités charcutières
54D1C1B2-41E8-4A90-8E6F-92D41467DB36;13.1;7CC49CB1-8606-43A4-9B8C-0B4FBFF4DD4C;fr_FR;Poissons et batraciens crus
1230F681-DF98-4B5A-A5E8-993F85437D1C;13.2;AC51175D-48F8-4238-BE4C-65527E11EB3F;fr_FR;Produits à base de poissons appertisés
BE851302-20FF-4447-B6F7-FA391FE4F633;13.3;C08FF541-E0C5-4CDF-A020-11DBB112091E;fr_FR;Poissons et batraciens cuits
C56DE0D2-185B-409D-B0FD-6065D66E4824;13.4;F96BDA63-7168-415D-94E1-E08023F49CBC;fr_FR;Poissons et crustacés panés ou en beignets
2E0B015C-5594-4ACF-B8E4-FE37B401C84E;13.5;1424EC11-6900-4382-A036-B8ACA2D14EAC;fr_FR;Poissons fumés
DF9160E8-24C3-4A53-B643-ECF839802313;13.6;61969C63-F552-41E6-B887-9B568EF9E9C2;fr_FR;Autres produits à base de poisson (entrées)
7B0C9A6C-A395-46E9-BA50-96A6BF58964E;14.1;AE33AEF4-3B64-4C0E-894E-7F8E0A5BC372;fr_FR;Crustacés et mollusques, crus
560CF142-EF2D-4C56-9642-2224D2161804;14.2;9650713C-B811-44E9-A98B-1D4907A2168C;fr_FR;Produits à base de crustacés et mollusques appert.
