UUID_FAMILY;ORIGGPCD;ORIGGPFR;UUID_INGREDIENT;ORIGFDCD;UUID_CONTENT;LANG;ORIGFDNM;Energie, Règlement UE N° 1169/2011 (kJ/100g);Energie, Règlement UE N° 1169/2011 (kcal/100g);Energie, N x facteur Jones, avec fibres  (kJ/100g);Energie, N x facteur Jones, avec fibres  (kcal/100g);Eau (g/100g);Protéines (g/100g);Protéines brutes, N x 6.25 (g/100g);Glucides (g/100g);Lipides (g/100g);Sucres (g/100g);Amidon (g/100g);Fibres alimentaires (g/100g);Polyols totaux (g/100g);Cendres (g/100g);Alcool (g/100g);Acides organiques (g/100g);AG saturés (g/100g);AG monoinsaturés (g/100g);AG polyinsaturés (g/100g);AG 4:0, butyrique (g/100g);AG 6:0, caproïque (g/100g);AG 8:0, caprylique (g/100g);AG 10:0, caprique (g/100g);AG 12:0, laurique (g/100g);AG 14:0, myristique (g/100g);AG 16:0, palmitique (g/100g);AG 18:0, stéarique (g/100g);AG 18:1 9c (n-9), oléique (g/100g);AG 18:2 9c,12c (n-6), linoléique (g/100g);AG 18:3 c9,c12,c15 (n-3), alpha-linolénique (g/100g);AG 20:4 5c,8c,11c,14c (n-6), arachidonique (g/100g);AG 20:5 5c,8c,11c,14c,17c (n-3) EPA (g/100g);AG 22:6 4c,7c,10c,13c,16c,19c (n-3) DHA (g/100g);Cholestérol (mg/100g);Sel chlorure de sodium (g/100g);Calcium (mg/100g);Chlorure (mg/100g);Cuivre (mg/100g);Fer (mg/100g);Iode (µg/100g);Magnésium (mg/100g);Manganèse (mg/100g);Phosphore (mg/100g);Potassium (mg/100g);Sélénium (µg/100g);Sodium (mg/100g);Zinc (mg/100g);Rétinol (µg/100g);Beta-Carotène (µg/100g);Vitamine D (µg/100g);Vitamine E (mg/100g);Vitamine K1 (µg/100g);Vitamine K2 (µg/100g);Vitamine C (mg/100g);Vitamine B1 ou Thiamine (mg/100g);Vitamine B2 ou Riboflavine (mg/100g);Vitamine B3 ou PP ou Niacine (mg/100g);Vitamine B5 ou Acide pantothénique (mg/100g);Vitamine B6 (mg/100g);Vitamine B9 ou Folates totaux (µg/100g);Vitamine B12 (µg/100g)
ED5B5569-86EC-4E14-9344-4D89E3DF66F0;01.1;Farines et amidons;4D5CA3F8-D97E-4EA2-A2B9-A256B0F93497;9520;2F8208F0-6854-4D4A-ADC9-18388A122BB1;fr_FR;Farine de riz;1510;357;1510;356;                11.4;                6.87;                7.21;                77.1;                 1.7;                0.49;-;                2.15;0;                0.79;0;0;                0.38;                0.52;                0.57;0;0;0;0;               0.003;              0.0095;                0.33;               0.033;                0.32;                0.44;               0.012;-;0;0;0;               0.014;                7.74;-;                0.19;                1.13;                0.85;                54.8;                 1.6;157;150;                 3.1;                 5.4;                1.66;0;0;0;                0.66;0;-;0;                0.19;                0.04;                3.18;                0.85;                0.39;10;0
ED5B5569-86EC-4E14-9344-4D89E3DF66F0;01.1;Farines et amidons;6830415D-597A-42FF-A31B-BC5309771AE7;9530;61145B65-87CA-4943-9B70-35FF7A06F02E;fr_FR;Farine de seigle T170;1320;315;1300;311;                10.8;                15.9;                17.1;                44.8;                2.22;                2.31;-;                23.8;0;                 2.5;0;0;                0.27;                0.28;                1.05;0;0;0;0;0;               0.003;                0.26;               0.009;-;-;-;-;0;0;0;               0.005;37;-;                0.56;                4.97;                 4.6;160;                6.06;499;717;-;2;                5.04;0;7;0;                2.73;                 5.9;-;0;                0.32;                0.25;                4.27;                1.46;                0.44;33;0
ED5B5569-86EC-4E14-9344-4D89E3DF66F0;01.1;Farines et amidons;E29C2A1D-58FA-41F3-9961-94BABDDA6872;9532;00A8D61A-FF36-494B-A057-B0087914FED4;fr_FR;Farine de seigle T85;1460;344;1450;342;12;                8.12;                 8.7;                70.7;                1.37;                0.93;-;                7.15;0;                0.69;0;0;                0.15;                0.16;                0.58;0;0;0;0;0;               0.001;                0.14;               0.005;-;-;-;-;0;0;0;              0.0051;                15.5;-;                0.19;1;-;29;                0.93;125;214;-;                2.05;                1.11;0;0;0;                0.56;                 5.9;-;0;                0.28;                0.07;                 0.8;                0.52;                0.23;23;0
ED5B5569-86EC-4E14-9344-4D89E3DF66F0;01.1;Farines et amidons;D60B11DC-225F-4056-8F2E-6BBE011812E8;9533;C351F1AC-784D-44E5-95CD-C4E94467A1FA;fr_FR;Farine de seigle T130;1450;344;1450;341;                 9.9;                7.24;                7.76;                70.9;                1.12;                1.59;                65.8;                 9.5;0;                1.38;0;0;                0.22;                0.19;                 0.7;0;0;0;-;              0.0013;              0.0023;                 0.2;              0.0068;                0.19;                0.65;               0.044;-;0;0;0;              0.0091;                23.8;-;                 0.3;                 1.8;-;                64.6;                 1.8;216;356;                 2.5;                3.63;                 1.9;0;0;0;                1.01;                 5.9;-;< 0.5;                 0.3;               0.072;                0.77;                0.45;                 0.2;                50.3;0
ED5B5569-86EC-4E14-9344-4D89E3DF66F0;01.1;Farines et amidons;70BE0D8C-204E-49FB-ADA5-4B4034D47055;9540;EDC24AF4-63C4-4555-ADB6-C3EF3A1C73EF;fr_FR;Farine de sarrasin;1470;348;1470;348;                12.1;                11.5;                11.5;                68.4;                2.19;                0.03;                68.4;                 4.2;0;                1.65;0;0;                0.33;                0.51;                0.63;< 0.005;< 0.005;               0.014;              0.0081;              0.0036;              0.0068;                0.27;               0.023;                0.51;                0.61;               0.024;0;0;             0.00061;0;               0.042;                23.8;-;                 0.5;                 2.5;-;157;                 1.3;264;389;                 4.9;                16.8;                 2.3;0;0;0;                0.32;7;-;< 0.5;                0.38;                0.15;                4.75;                1.45;                0.46;                66.8;0
ED5B5569-86EC-4E14-9344-4D89E3DF66F0;01.1;Farines et amidons;4EB7227F-BB63-4351-B47E-AF12A9B8FD3B;9545;3DD623FD-48CF-470A-BE15-7ED361DB0C8E;fr_FR;Farine de maïs;1530;361;1530;361;                10.5;                6.23;                6.23;                78.1;                 2.1;                0.64;-;                2.55;0;                0.53;0;0;                0.27;                0.48;                0.94;0;0;0;0;               0.001;               0.005;                0.23;               0.037;                0.48;                0.91;               0.032;-;0;0;0;              0.0025;4;-;                0.14;                1.01;                 0.6;                32.5;               0.056;                79.5;105;                 3.2;1;                0.44;0;97;0;                0.63;                 0.3;-;0;                 0.2;               0.084;                4.18;               0.052;                0.21;34;0
ED5B5569-86EC-4E14-9344-4D89E3DF66F0;01.1;Farines et amidons;06FCF187-C651-44DD-926C-3D9D3F3D4470;9550;9D42E068-3C3C-4BB7-A243-2E34392E8C5F;fr_FR;Farine d'orge;1430;339;1420;336;                13.1;                9.91;                10.6;                64.5;                 2.3;                 0.8;56;                8.85;0;                1.39;0;0;                0.43;                0.23;                1.07;0;0;0;0;               0.004;              0.0085;                 0.4;               0.014;                0.23;                0.97;                 0.1;0;0;0;0;              0.0081;                27.5;-;                0.45;                3.59;5;                92.5;                1.32;298;335;1;                3.25;                 2.4;0;0;0;                0.41;                 2.2;-;0;                0.35;                0.11;                5.98;                0.15;                0.36;8;0
ED5B5569-86EC-4E14-9344-4D89E3DF66F0;01.1;Farines et amidons;7168B206-07FD-4000-AC65-DB17611BF2D3;9555;7983990F-E90F-47A2-89AF-2C9D3CE149D1;fr_FR;Farine de millet;1590;375;1590;375;                8.67;                11.5;                11.5;                70.8;                4.25;                1.64;                69.2;                 3.5;0;                1.21;0;0;                0.54;                0.92;                2.62;               0.007;               0.001;0;               0.008;               0.001;               0.003;                0.39;               0.071;                 0.9;                2.55;               0.044;-;0;0;-;                0.01;14;-;                0.54;                3.94;-;119;1;285;224;-;4;                2.63;-;-;-;                0.11;                 0.8;-;0;                0.41;               0.073;                6.02;                1.27;                0.37;42;-
ED5B5569-86EC-4E14-9344-4D89E3DF66F0;01.1;Farines et amidons;F675C6B5-EEC2-465C-8ACA-195497819E04;9580;CF8CCCB9-578D-4408-ACC5-2DCDD32680AB;fr_FR;Farine de pois chiche;1510;359;1510;359;                10.3;                22.4;                22.4;47;                6.69;                10.9;-;                10.8;0;                2.82;0;0;                0.69;                 1.5;                2.98;0;0;0;0;0;                0.01;                0.56;               0.094;-;-;-;-;0;0;0;                0.16;45;-;                0.91;                4.86;-;166;                 1.6;318;846;-;64;                2.81;0;25;0;                0.83;                 9.1;-;0;                0.49;                0.11;                1.76;                0.61;                0.49;437;0
ED5B5569-86EC-4E14-9344-4D89E3DF66F0;01.1;Farines et amidons;64C3FC39-0FA5-4658-9399-5537BE390D3D;9621;E66CB968-7610-40E1-9E96-D014E4E5AC2C;fr_FR;Son de blé;1160;279;1160;279;                9.05;                15.4;                15.2;                23.6;                4.35;                2.46;                20.9;42;0;                 5.6;0;0;                0.84;                0.67;                2.49;0;0;0;0;               0.002;               0.007;                0.68;                0.04;                0.66;                2.32;                0.16;              0.0081;0;0;0;               0.033;                73.9;-;                1.05;                14.8;                 2.4;546;                13.3;1030;1260;                 6.8;                13.3;                7.49;0;6;0;                1.55;                42.5;-;0;                0.71;                0.47;                21.6;                2.29;                1.34;110;0
ED5B5569-86EC-4E14-9344-4D89E3DF66F0;01.1;Farines et amidons;3F3EEF75-3B0F-4FDC-A2BB-E5CF06D3AFA6;9640;97DA3B49-F3EB-40F1-BA1E-045DE8774F5D;fr_FR;Son d'avoine;1510;359;1510;359;                7.53;                15.8;                15.8;51;                6.48;                2.23;-;                16.7;0;                2.55;0;0;                1.16;                2.38;                2.77;0;0;0;0;               0.024;               0.015;                1.06;               0.067;-;-;-;-;0;0;0;               0.016;                62.6;-;                 0.4;                5.41;-;235;                5.63;627;566;                45.2;                 6.5;                3.11;0;0;0;                1.01;                 3.2;-;0;                1.17;                0.22;                0.93;                1.49;                0.17;52;0
ED5B5569-86EC-4E14-9344-4D89E3DF66F0;01.1;Farines et amidons;28C90F3E-32E6-4048-BA67-6E1A28E1649D;9641;214B0981-6A8A-448B-A2B3-D95568150E46;fr_FR;Son de maïs;921;226;921;226;                4.71;                8.36;                8.36;                6.65;                0.92;0;-;79;0;                0.36;0;0;                0.13;                0.24;                0.42;0;0;0;0;0;0;                0.11;               0.015;-;-;-;-;0;0;0;               0.018;42;-;                0.25;                2.79;-;64;                0.14;72;44;-;7;                1.56;0;32;0;                0.42;                 0.3;-;0;                0.01;                 0.1;                2.74;                0.64;                0.15;4;0
